地段,datetime,total_price,unit_price,area,主建物佔比,型態,age,樓別/樓高,交易標的,交易筆棟數,建物現況格局,parking_price,管理組織,電梯,主要用途,備註
松平路,2022/2/23,3436.7,119.4,32.73,83.82%,住宅大樓(11層含以上有電梯),30,五層/十五層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,200,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
松平路,2022/11/17,5200,110.4,51.32,48.11%,華廈(10層含以下有電梯),15,五層/七層,房地(土地+建物)+車位,土:1 建:2車:1,1房1廳2衛,200,有,有,住家用,總價包含松平路78號5樓1580萬元，80號5樓3420萬陽台外推;
松平路,2021/11/8,2640,101.6,32.98,52.00%,華廈(10層含以下有電梯),14,三層/八層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳1衛,200,有,有,住家用,其他增建(雨遮加蓋)陽台外推;其他增建;
松平路,2020/5/21,2626,101,32.98,52.00%,套房(1房(1廳)1衛),13,二層/八層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,200,有,,住家用,含增建或未登記建物。
松平路,2019/4/2,1800,90.4,23.75,47.02%,套房(1房(1廳)1衛),11,二層/七層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,200,有,,住家用,
松勤街,2021/4/15,2250,136.6,20.29,59.83%,住宅大樓(11層含以上有電梯),13,九層/十九層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,200,有,有,住家用,
吳興街,2020/11/10,5998,63.9,99.81,72.61%,住宅大樓(11層含以上有電梯),27,十二層/十五層,房地(土地+建物)+車位,土:1 建:1車:1,4房2廳2衛,200,有,有,住家用,
吳興街,2020/3/7,2608,69.7,37.4,51.58%,華廈(10層含以下有電梯),17,五層/五層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,200,有,,住家用,含增建或未登記建物。
吳興街,2021/2/24,6108,70.6,92.47,63.59%,住宅大樓(11層含以上有電梯),13,"十二層,十三層/十三層",房地(土地+建物)+車位,土:1 建:1車:1,5房2廳4衛,200,有,有,住家用,陽台外推;其他增建;
吳興街,2023/5/6,1738,66.9,27.82,52.11%,住宅大樓(11層含以上有電梯),9,四層/十一層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳1衛,200,有,有,住家用,夾層;其他增建;
吳興街,2023/2/24,1620,61.8,27.81,52.14%,住宅大樓(11層含以上有電梯),9,二層/十一層,房地(土地+建物)+車位,土:1 建:1車:1,1房2廳2衛,200,有,有,住家用,夾層;其他增建;
